"Genes"	"regulator"
"HMGB3"	0
"NUP160"	0
"BAK1"	0
"IKZF2"	1
"GRN"	0
"FAM13B"	0
"ARHGAP31"	0
"CENPQ"	0
"SARS1"	0
"RANBP3"	0
"ARID4A"	1
"EIPR1"	0
"PNPLA6"	0
"IFT88"	0
"ALG1"	0
"ZCCHC8"	0
"ABCF2"	0
"CHPF2"	0
"LRRC7"	0
"FUT8"	0
"UBA6"	0
"GAB2"	0
"ATP6V0A1"	0
"PIAS1"	0
"SLC4A7"	0
"APBA2"	0
"MAP2K3"	0
"EFCAB1"	0
"TMSB10"	0
"ASTE1"	0
"RNF19A"	0
"PEX3"	0
"GABARAPL2"	0
"SH3YL1"	0
"FAM136A"	0
"VCL"	0
"DEPDC1B"	0
"DAPK2"	0
"NSMAF"	0
"ADSS2"	0
"STAP1"	0
"TIMP2"	0
"RFC1"	0
"TBC1D23"	0
"CUL3"	0
"MYOM2"	0
"CYP46A1"	0
"ZZZ3"	1
"USP2"	0
"TUBG2"	0
"RPL26L1"	0
"FLT4"	0
"NSUN2"	0
"FBXO42"	0
"MFAP3"	0
"MRI1"	0
"METTL1"	0
"HOXC8"	1
"AGA"	0
"PI4K2B"	0
"BOD1L1"	0
"MAT2B"	0
"TLL1"	0
"EDC4"	0
"TRIO"	0
"VCAN"	0
"CLEC16A"	0
"MSR1"	0
"CDH1"	0
"MTREX"	0
"DNAH5"	0
"ZFYVE16"	0
"RIPOR1"	0
"RAI14"	0
"PNKP"	0
"PHLPP2"	0
"SPDL1"	0
"STAU2"	0
"SLC66A1"	0
"CTNS"	0
"RTN4R"	0
"PHF23"	0
"INPP4A"	0
"RAB27B"	0
"PSMA4"	0
"MYO16"	0
"LSG1"	0
"PARP3"	0
"TNC"	0
"THAP3"	1
"RIPOR3"	0
"TDP1"	0
"AIFM2"	0
"SPATA7"	0
"MED17"	0
"RETSAT"	0
"CAPG"	0
"AP2S1"	0
"TG"	0
"ADAM28"	0
"BARX2"	1
"DCUN1D1"	0
"JADE2"	0
"ZIC2"	1
"LCP2"	0
"TRIT1"	0
"ADRB1"	0
"CUL7"	0
"CTNNA1"	0
"PHKA2"	0
"CNTLN"	0
"EPHA3"	0
"HSPA5"	0
"DSG2"	0
"GEMIN8"	0
"OFD1"	0
"GPM6B"	0
"PREX2"	0
"WDR37"	0
"YTHDC2"	0
"CTPS2"	0
"ATP6V1H"	0
"POLR2B"	0
"FAM214A"	0
"ARAP2"	0
"TPR"	0
"CP"	0
"KATNIP"	0
"DTNBP1"	0
"XK"	0
"ANO2"	0
"C12orf4"	0
"SCML1"	0
"WWC3"	0
"ARHGAP6"	0
"FAM184B"	0
"MAP4"	0
"GOPC"	0
"ROS1"	0
"USP28"	0
"HDAC9"	0
"TSPAN17"	0
"NOP16"	0
"CC2D2A"	0
"RRM2B"	0
"ZNF800"	1
"TNFRSF17"	0
"SNX29"	0
"LMO3"	0
"MRPS10"	0
"RSF1"	0
"VPS13D"	0
"CELF2"	0
"FAM120A"	0
"R3HDM1"	0
"COL9A2"	0
"KITLG"	0
"ERCC8"	0
"ADAMTS6"	0
"H6PD"	0
"VAMP3"	0
"PER3"	0
"TNFRSF9"	0
"EPN3"	0
"LTBP1"	0
"RCN1"	0
"ELN"	0
"RFC2"	0
"ARID1B"	1
"CLPTM1L"	0
"NEDD4L"	0
"FOXP3"	1
"PPP1R3F"	0
"HEXB"	0
"PTCD2"	0
"NEXMIF"	0
"JKAMP"	0
"DKK3"	0
"ARHGEF5"	0
"NFE2L3"	1
"MCUR1"	0
"LIMA1"	0
"LETMD1"	0
"SLC4A8"	0
"LAMC3"	0
"PTGER3"	0
"TNIP3"	0
"MAPK9"	0
"COL23A1"	0
"BCAR1"	0
"FAM160A2"	0
"HERPUD1"	0
"HOMER3"	0
"RAD51"	0
"POLQ"	0
"PIK3CB"	0
"CYBA"	0
"THOC3"	0
"HEBP2"	0
"MPHOSPH9"	0
"PLEKHA5"	0
"PRSS8"	0
"SIKE1"	0
"RRP12"	0
"FNIP2"	0
"MSMO1"	0
"TTC17"	0
"FSTL4"	0
"FOXN3"	1
"METTL24"	0
"AKR7A2"	0
"MRTO4"	0
"NNAT"	0
"USE1"	0
"MCF2L2"	0
"NRIP2"	0
"LAMA3"	0
"AP5M1"	0
"ANAPC4"	0
"KCNQ1"	0
"TRAPPC3"	0
"THRAP3"	0
"PHPT1"	0
"ENTPD2"	0
"LY75"	0
"ARID4B"	1
"OPN3"	0
"SDCCAG8"	0
"PTPRN"	0
"HHAT"	0
"KIF1B"	0
